Date,Visitor,Visitor Goals,Home,Home Goals,Extra,Attendance,Length
2015-10-07,Vancouver Canucks,5,Calgary Flames,1,Regular,19289,152
2015-10-07,New York Rangers,3,Chicago Blackhawks,2,Regular,22104,148
2015-10-07,San Jose Sharks,5,Los Angeles Kings,1,Regular,18230,160
2015-10-07,Montreal Canadiens,3,Toronto Maple Leafs,1,Regular,19241,156
2015-10-08,Winnipeg Jets,6,Boston Bruins,2,Regular,17565,146
2015-10-08,Ottawa Senators,3,Buffalo Sabres,1,Regular,19070,157
2015-10-08,Minnesota Wild,5,Colorado Avalanche,4,Regular,18007,156
2015-10-08,Pittsburgh Penguins,0,Dallas Stars,3,Regular,18532,161
2015-10-08,Carolina Hurricanes,1,Nashville Predators,2,Regular,17204,145
2015-10-08,Edmonton Oilers,1,St. Louis Blues,3,Regular,19327,145
2015-10-08,Philadelphia Flyers,2,Tampa Bay Lightning,3,OT,19092,154
2015-10-09,New York Rangers,4,Columbus Blue Jackets,2,Regular,19027,151
2015-10-09,Toronto Maple Leafs,0,Detroit Red Wings,4,Regular,20027,153
2015-10-09,Arizona Coyotes,4,Los Angeles Kings,1,Regular,18230,147
2015-10-09,Winnipeg Jets,3,New Jersey Devils,1,Regular,14579,146
2015-10-09,Chicago Blackhawks,3,New York Islanders,2,OT,15795,157
2015-10-10,Pittsburgh Penguins,1,Arizona Coyotes,2,Regular,17125,150
2015-10-10,Montreal Canadiens,4,Boston Bruins,2,Regular,17565,170
2015-10-10,Tampa Bay Lightning,4,Buffalo Sabres,1,Regular,17739,147
2015-10-10,Detroit Red Wings,4,Carolina Hurricanes,3,Regular,18949,149
2015-10-10,New York Islanders,1,Chicago Blackhawks,4,Regular,21392,143
2015-10-10,Dallas Stars,3,Colorado Avalanche,6,Regular,16024,151
2015-10-10,Philadelphia Flyers,1,Florida Panthers,7,Regular,19434,157
2015-10-10,St. Louis Blues,2,Minnesota Wild,3,Regular,19096,147
2015-10-10,Edmonton Oilers,0,Nashville Predators,2,Regular,17113,152
2015-10-10,Columbus Blue Jackets,2,New York Rangers,5,Regular,18006,153
2015-10-10,Anaheim Ducks,0,San Jose Sharks,2,Regular,17562,145
2015-10-10,Ottawa Senators,5,Toronto Maple Leafs,4,SO,19187,173
2015-10-10,Calgary Flames,3,Vancouver Canucks,2,OT,18570,156
2015-10-10,New Jersey Devils,3,Washington Capitals,5,Regular,18506,155
2015-10-11,Montreal Canadiens,3,Ottawa Senators,1,Regular,19177,160
2015-10-12,Vancouver Canucks,2,Anaheim Ducks,1,SO,17174,145
2015-10-12,Tampa Bay Lightning,6,Boston Bruins,3,Regular,17565,150
2015-10-12,Columbus Blue Jackets,2,Buffalo Sabres,4,Regular,18075,147
2015-10-12,Winnipeg Jets,2,New York Islanders,4,Regular,11183,157
2015-10-12,Florida Panthers,0,Philadelphia Flyers,1,Regular,19769,149
2015-10-13,Florida Panthers,4,Carolina Hurricanes,1,Regular,10901,134
2015-10-13,St. Louis Blues,4,Calgary Flames,3,Regular,18632,143
2015-10-13,Edmonton Oilers,2,Dallas Stars,4,Regular,16265,150
2015-10-13,Tampa Bay Lightning,1,Detroit Red Wings,3,Regular,20027,147
2015-10-13,Vancouver Canucks,3,Los Angeles Kings,0,Regular,18230,143
2015-10-13,Nashville Predators,3,New Jersey Devils,1,Regular,11117,147
2015-10-13,Winnipeg Jets,4,New York Rangers,1,Regular,18006,143
2015-10-13,Montreal Canadiens,3,Pittsburgh Penguins,2,Regular,18626,143
2015-10-13,San Jose Sharks,5,Washington Capitals,0,Regular,18506,153
2015-10-14,Arizona Coyotes,4,Anaheim Ducks,0,Regular,15172,153
2015-10-14,Ottawa Senators,7,Columbus Blue Jackets,3,Regular,13803,151
2015-10-14,Boston Bruins,6,Colorado Avalanche,2,Regular,15082,137
2015-10-14,Chicago Blackhawks,0,Philadelphia Flyers,3,Regular,19779,145
2015-10-15,Minnesota Wild,4,Arizona Coyotes,3,Regular,12029,164
2015-10-15,St. Louis Blues,4,Edmonton Oilers,2,Regular,16839,147
2015-10-15,Buffalo Sabres,2,Florida Panthers,3,Regular,11616,156
2015-10-15,New York Rangers,0,Montreal Canadiens,3,Regular,21288,157
2015-10-15,Nashville Predators,3,New York Islanders,4,Regular,10542,152
2015-10-15,Ottawa Senators,0,Pittsburgh Penguins,2,Regular,18486,149
2015-10-15,Dallas Stars,5,Tampa Bay Lightning,3,Regular,19092,151
2015-10-15,Chicago Blackhawks,1,Washington Capitals,4,Regular,18506,137
2015-10-16,Colorado Avalanche,3,Anaheim Ducks,0,Regular,17174,149
2015-10-16,Toronto Maple Leafs,6,Columbus Blue Jackets,3,Regular,13885,157
2015-10-16,Carolina Hurricanes,5,Detroit Red Wings,3,Regular,20027,142
2015-10-16,Minnesota Wild,1,Los Angeles Kings,2,OT,18230,154
2015-10-16,San Jose Sharks,2,New Jersey Devils,1,SO,12464,157
2015-10-16,St. Louis Blues,4,Vancouver Canucks,3,Regular,18362,144
2015-10-16,Calgary Flames,1,Winnipeg Jets,3,Regular,15294,148
2015-10-17,Boston Bruins,5,Arizona Coyotes,3,Regular,13411,155
2015-10-17,Edmonton Oilers,5,Calgary Flames,2,Regular,19289,156
2015-10-17,Columbus Blue Jackets,1,Chicago Blackhawks,4,Regular,21563,139
2015-10-17,Dallas Stars,4,Florida Panthers,2,Regular,12834,150
